Image Name                     PID Session Name        Session#    Mem Usage
WhatsApp.exe                 16388 Console                    2    198В 732 K
wininit.exe                    892 Services                   0      6В 484 K
winlogon.exe                 17424 Console                    2     11В 440 K
wlanext.exe                   4652 Services                   0      6В 312 K
WmiPrvSE.exe                  7344 Services                   0     10В 880 K
WmiPrvSE.exe                  7364 Services                   0     18В 732 K
WMIRegistrationService.ex     5804 Services                   0     13В 136 K
WUDFHost.exe                  1084 Services                   0     17В 408 K
WUDFHost.exe                  2640 Services                   0      8В 244 K
xTendUtility.exe              7628 Services                   0      7В 576 K
xTendUtilityService.exe       6216 Services                   0     16В 844 K
YandexDisk2.exe              14620 Console                    2     69В 044 K
